年度,行業別,經常性薪資-薪資,經常性薪資-女/男,專業人員-薪資,專業人員-女/男,技術員及助理專業人員-薪資,技術員及助理專業人員-女/男,事務支援人員-薪資,事務支援人員-女/男,服務及銷售工作人員-薪資,服務及銷售工作人員-女/男,技藝_機械設備操作及組裝人員-薪資,技藝_機械設備操作及組裝人員-女/男,基層技術工及勞力工-薪資,基層技術工及勞力工-女/男
2018,工業及服務業,27583,98.98,34464,99.35,29275,99.2,26631,99.05,25788,99.39,26161,98.67,23564,99.11
2018,工業,27555,98.82,34378,99.29,28985,99.03,26675,98.89,26443,99.2,25831,98.54,23451,98.92
2018,礦業及土石採取業,26492,96.76,36166,96.68,27954,98.28,24672,98.79,25531,100,27017,98.15,23276,96.36
2018,石油及天然氣礦業,29441,97.65,38423,100,27944,100,27944,100,27944,100,27944,100,— ,— 
2018,砂、石採取及其他礦業,24973,96.32,31200,90.62,27963,96.8,23505,99.12,22429,100,26546,96.81,23276,96.36
2018,製造業,27499,98.96,34310,99.33,28853,99.11,26777,99,26410,99.2,25636,98.71,23323,99.21
2018,食品及飼品製造業,26421,98.75,32010,98.72,27726,98.68,25974,99.18,25587,98.64,25142,98.79,22991,99.13
2018,飲料及菸草製造業,29686,99.56,34120,98.33,30585,100,29342,99.86,29824,100,28999,99.47,24060,100
2018,紡織業,27156,98.64,33573,99.35,29324,98.86,26867,98.35,26382,99.17,25412,98.27,23243,99.18
2018,成衣及服飾品製造業,26771,99.33,33649,98.94,28938,99.05,26505,99.69,25553,100,25248,98.99,23217,100
2018,皮革、毛皮及其製品製造業,25499,98.84,31804,99.63,27521,99.07,24889,98.63,24517,98.65,24053,99.46,22740,99.05
2018,木竹製品製造業,26571,97.4,35417,93.18,29588,97.31,26628,95.15,23050,98.71,25393,98.69,25146,99.17
2018,紙漿、紙及紙製品製造業,28029,98.47,33480,99.35,29473,98.98,27812,98.09,27046,98.36,27276,98.05,24390,98.25
2018,印刷及資料儲存媒體複製業,27624,99.65,33486,99.52,29816,99.71,26066,99.78,28704,100,26424,99.56,23703,99.3
2018,石油及煤製品製造業,30176,99.17,38198,100,32513,99.3,28895,100,27944,100,28237,96.04,… ,… 
2018,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,31058,98.33,38754,99.24,31730,98.6,29524,98.29,29162,98.43,28628,97.52,24774,97.5
2018,其他化學製品製造業,29404,99.44,35431,99.56,31254,99.83,28499,98.81,28629,100,27570,99.71,23272,100
2018,藥品及醫用化學製品製造業,27492,99.57,33322,99.8,28592,99.33,26465,99.71,25558,99.67,25795,99.8,23407,99.55
2018,橡膠製品製造業,27092,98.61,31817,99.04,28118,98.8,26416,97.74,26660,98.35,26200,99.63,24565,98.93
2018,塑膠製品製造業,26941,98.95,32758,99.51,28454,98.66,26285,99.42,27066,99.19,25396,98.21,23179,99.03
2018,非金屬礦物製品製造業,27507,99.03,33670,99.46,29032,99.32,26718,98.72,26924,99.18,26183,99,23541,99.28
2018,基本金屬製造業,27519,98.08,32884,97.91,28492,98.27,26945,98.57,26164,98.46,26694,97.27,23466,98.42
2018,金屬製品製造業,26029,98.34,31747,99.27,27553,98.6,25597,98.19,25384,98.32,24897,97.91,23115,99.1
2018,電子零組件製造業,28207,99.55,36240,99.77,29147,99.47,27430,99.72,26597,99.76,25386,99.39,22998,99.8
2018,電腦、電子產品及光學製品製造業,28825,99.35,36763,99.53,29934,99.81,27988,99.53,27277,99.62,25261,99.72,22982,99.83
2018,電力設備及配備製造業,27307,98.72,34087,98.66,28736,98.41,26736,98.96,25540,99.1,25118,99.02,23087,99.3
2018,機械設備製造業,27502,98.92,34002,99.54,28545,99.17,26353,98.91,26645,99.23,26136,98.54,23614,98.99
2018,汽車及其零件製造業,26676,99.13,32159,98.83,28095,99.31,25689,99.27,25779,99.69,25433,99.05,23583,99.27
2018,其他運輸工具及其零件製造業,26621,99.29,32343,99.67,27831,98.88,26412,99.17,25433,99.67,25060,99.35,23568,99.55
2018,家具製造業,24789,98.74,29919,97.95,26337,99.3,24412,98.58,24392,98.82,24058,99.14,22390,98.37
2018,其他製造業,26759,99.48,32398,99.96,27930,99.51,25927,99.56,26491,99.84,24729,99.69,23030,99.39
2018,產業用機械設備維修及安裝業,29928,99.19,36989,100,32926,99.95,29514,98.53,27602,100,27473,97.62,23242,100
2018,電力及燃氣供應業,29517,97.54,34795,98.97,30332,99.33,27846,97.36,29138,99.27,29362,94.16,25199,95.99
2018,電力供應業,32492,98.01,36831,100,32663,100,30487,97.32,… ,… ,31971,92.32,… ,… 
2018,氣體燃料供應業,28628,97.14,33685,98.36,29303,98.73,27006,97.17,29232,99.14,28959,94.81,24750,94.81
2018,用水供應及污染整治業,28467,98.76,37010,98.6,31712,99.82,26485,99.2,27908,99.04,28951,97.59,24202,98.87
2018,用水供應業,32777,99.95,42756,100,38628,100,31202,99.8,30018,100,28052,100,27500,100
2018,廢水及污水處理業,26276,97.4,… ,… ,27977,99.57,24423,100.68,— ,— ,… ,… ,… ,… 
2018,廢棄物清除業,25981,97.5,31600,100,27167,99.19,24237,100.04,… ,… ,30070,97.78,22726,100
2018,廢棄物處理業,28537,98.37,36788,98.28,31007,99.4,26361,98.64,25821,95.15,30430,96.34,24049,98.33
2018,資源回收處理及污染整治業,26853,98.4,33313,97.77,28779,99.19,25584,99.25,… ,… ,27269,97.79,24154,97.58
2018,營建工程業,27702,97.59,34315,99.26,29396,98.03,25890,98.46,26333,99.24,26468,99.1,24610,96.45
2018,建築工程業,29885,97.67,35155,99.62,30889,97.62,28141,99.4,25786,100,27479,100,27054,90.82
2018,土木工程業,29653,98.01,36990,99.08,31690,98.69,27133,98.07,29143,97.1,27811,97.11,25641,98.24
2018,機電、管道及其他建築設備安裝業,27005,97.55,32856,98.44,28277,97.65,25474,98.41,25731,100,26300,99.37,24048,95.65
2018,其他專門營造業,26066,97.71,32581,99.4,28028,96.77,24458,99.5,23667,100,25843,99.96,23563,97.94
2018,服務業,27628,99.23,34609,99.43,29810,99.47,26572,99.26,25237,99.57,27142,99.09,23783,99.45
2018,批發及零售業,26758,99.12,33788,99.66,28802,99.24,26265,99.59,24628,99.6,25889,97.35,23799,99.14
2018,批發業,27682,98.74,35115,99.89,29358,99.04,26471,99.37,25694,99,26082,96.13,23785,98.6
2018,零售業,25679,99.7,31461,99.43,27597,99.86,25905,99.95,24233,99.89,25651,99.03,23820,100
2018,運輸及倉儲業,28294,99,36252,99.75,31634,99.59,26824,98.77,27031,99.3,29234,99.62,24820,99.46
2018,鐵路大眾捷運系統運輸業,31711,99.92,38931,100,33065,100,30359,99.72,28917,100,31051,100,… ,… 
2018,公共汽車客運業,27439,99.01,32488,98.61,30718,97.67,26615,98.82,24236,98.7,30822,100.68,23711,99.36
2018,其他汽車客運業,25416,99.44,— ,— ,— ,— ,25686,100.07,— ,— ,25212,98.81,— ,— 
2018,汽車貨運業,26491,98.72,34346,99.15,30905,100,25091,98.68,25575,99.42,28483,99.98,24547,99.94
2018,海洋水運業,32800,100,38600,100,35229,100,32200,100,31118,100,31692,100,26833,100
2018,航空運輸業,33325,99.06,35608,100,35553,100,32956,99.34,31155,99.66,33706,94.46,… ,… 
2018,港埠業,35821,100,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,— ,— 
2018,其他運輸輔助業,28181,99.13,35464,99.69,30441,99.88,26910,99.3,27741,99.31,28668,99.02,25210,99.36
2018,倉儲業,27548,99.13,37790,100,29344,98.7,25751,99.53,25735,100,27439,97.42,25492,99.04
2018,郵政業,38151,100,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… 
2018,快遞業,27932,99.75,… ,… ,… ,… ,26862,99.33,… ,… ,28119,100,… ,… 
2018,住宿及餐飲業,26304,99.48,30678,99.08,28264,99.78,26339,99.56,25493,99.5,27283,99.7,24114,99.36
2018,住宿業,25269,99.51,28944,99.81,27210,99.53,25081,99.67,24360,99.58,25504,99,23250,99.67
2018,餐館,27024,99.45,32462,98.62,29882,100,28044,99.12,25803,99.59,29613,100,25244,98.89
2018,其他餐飲業,26765,99.55,31194,98.73,28288,100,26918,100,26015,99.21,27989,100,23276,100
2018,出版、影音製作、傳播及資通訊服務業,28832,99.14,34003,99.2,29247,99.61,27002,99.09,26082,99.17,26668,100,23941,100
2018,出版業,27956,99.32,32250,98.63,28772,99.06,26356,99.56,25513,100,24000,100,… ,… 
2018,影片及電視節目業；聲音錄製及音樂發行業,25540,99.58,30475,98.7,25633,100.26,24474,99.23,23788,99.8,23200,100,22714,100
2018,廣播、電視節目編排及傳播業,26941,99.95,30146,99.86,28619,100,25594,100.07,25684,100,26929,100,24500,100
2018,電信業,28626,99.48,34247,99.95,29632,100,26829,100,26602,99.79,29236,100,… ,… 
2018,電腦程式設計、諮詢及相關服務業,29984,98.96,35216,99.71,29924,99.85,28125,98.05,26792,98.79,28119,100,24385,100
2018,資訊服務業,29440,98.51,35047,98.71,28667,98.29,26528,99.64,25285,99.21,26333,100,— ,— 
2018,金融及保險業,32044,99.5,37668,99.44,32899,99.7,30539,99.52,27555,100,30014,98.47,24661,99.19
2018,銀行業,36354,99.83,43109,99.84,37892,99.74,34477,100.1,30172,100,33573,97.75,24781,97.8
2018,信用合作社,25470,99.72,… ,… ,… ,… ,25608,99.61,… ,… ,— ,— ,— ,— 
2018,農會及漁會信用部,28820,98.39,32833,100,30569,99,28143,97.12,26556,100,28250,100,… ,… 
2018,其他金融服務業,32522,98.62,38009,97.3,33434,100,31693,98.36,27187,100,29617,100,… ,… 
2018,人身保險業,30741,100,35196,100,31294,100,29222,100,26868,100,30550,100,— ,— 
2018,財產保險業,29201,99.86,32374,99.83,30170,99.76,28843,99.85,25194,100,27000,99.22,… ,… 
2018,其他保險輔助業,36384,100,… ,… ,… ,… ,… ,… ,… ,… ,— ,— ,… ,… 
2018,證券期貨及金融輔助業,29176,99.79,34418,99.57,28634,100,27693,99.98,26031,100,27673,100,23798,100
2018,不動產業,28092,99.34,34963,99.24,29773,99.74,26263,99.61,25622,99.85,26281,97.28,24471,100
2018,不動產開發業,29266,99.15,36320,99.8,31081,99.58,27018,99.87,26419,99.41,28471,94.75,… ,… 
2018,不動產經營及相關服務業,27383,99.6,34050,98.99,28966,100,25788,99.5,25147,100,25247,100,24160,100
2018,專業、科學及技術服務業,29052,99.05,35344,99.08,29589,99.51,26836,99.33,25800,99.71,26479,99.63,23465,97.97
2018,法律服務業,32467,100,43625,100,31157,100,28294,100,— ,— ,— ,— ,— ,— 
2018,會計服務業,28191,97.49,34769,100,28725,98.55,24826,98.15,— ,— ,— ,— ,— ,— 
2018,企業總管理機構及管理顧問業,28852,99.9,34563,99.94,30340,99.71,27180,100,25398,100,27919,100,24008,99.82
2018,建築、工程服務及技術檢測、分析服務業,29854,98.74,35704,98.42,29375,99.45,27130,99.54,28800,100,26987,98.89,23000,98.15
2018,廣告業及市場研究業,28025,98.8,33298,99.46,30723,99.47,26489,98.83,23667,100,25509,99.93,23569,91.26
2018,專門設計業,28838,98.71,35049,98.46,26375,100,26045,98.19,… ,… ,… ,… ,… ,… 
2018,其他專業、科學及技術服務業,26941,98.87,36077,99.15,28313,99.03,25620,98.83,23356,100.18,25182,100,… ,… 
2018,支援服務業,26243,99.29,32190,99.72,28591,98.66,25619,99.38,25523,99.62,26190,98.9,23214,99.76
2018,租賃業,28168,99.08,33808,100,30835,100,27497,97.75,24305,100,27176,99.71,24967,100
2018,人力仲介業,25263,100,… ,… ,— ,— ,25600,100,… ,… ,— ,— ,… ,… 
2018,人力供應業,25426,99.35,30394,99.73,26676,97.47,24633,99.89,24347,99.88,25563,99.33,23415,99.72
